manufacturer_name,model_name,transmission,body_type,production_year,number_of_seat,odometer_value,color_body,engine_fuel,engine_type,engine_capacity,drivetrain,price,url
Kia,cerato,Số tự động,Sedan,2018,5,15000,Đỏ,Xăng,,,,608000000,http://oto.com.vn/mua-ban-xe-kia-cerato-ha-noi/ban-16-at-nam-2018-bien-so-thanh-pho-aidxc2501149
Toyota,innova,Số tay,MPV,2016,7,151000,Bạc,Xăng,,,AWD - 4 bánh toàn thời gian,583000000,http://oto.com.vn/mua-ban-xe-toyota-innova-ha-noi/ban-doi-2016-mau-bac-gia-chi-583-trieu-aidxc2501428
Toyota,innova,Số tự động,MPV,2014,8,82000,Bạc,Xăng,,,RFD - Dẫn động cầu sau,520000000,http://oto.com.vn/mua-ban-xe-toyota-innova-ha-noi/ban-g-2014-mau-bac-520tr-aidxc2501108
Toyota,corolla-altis,Số tự động,Sedan,2009,5,127000,Đen,Xăng,,,FWD - Dẫn động cầu trước,470000000,http://oto.com.vn/mua-ban-xe-toyota-corolla-altis-hcm/ban-altis-18g-cvt-2009-tang-sang-ten-bao-hiem-giam-gia-nua-aidxc2501561
Kia,rio,Số tay,Sedan,2015,5,70000,Bạc,Xăng,,,FWD - Dẫn động cầu trước,366000000,http://oto.com.vn/mua-ban-xe-kia-rio-hcm/ban-nam-2015-mau-bac-nhap-khau-366tr-aidxc2501382
Porsche,panamera,,Sedan,2017,5,20000,Trắng,,,,,4.999e+09,http://oto.com.vn/mua-ban-xe-porsche-panamera-ha-noi/can-ban-xe-doi-2018-mau-trang-nhap-khau-aidxc2501138
Kia,cerato,Số tự động,Sedan,2017,5,28000,Đen,Xăng,,,FWD - Dẫn động cầu trước,588000000,http://oto.com.vn/mua-ban-xe-kia-cerato-hcm/ban-xe-cu-20-san-xuat-2017-mau-den-aidxc2501152
Audi,a5,Số tự động,Sedan,2014,5,40000,Xanh lam,Xăng,,,AWD - 4 bánh toàn thời gian,1160000000,http://oto.com.vn/mua-ban-xe-audi-a5-ha-noi/ban-sport-back-2014-xanh-cavanstie-sieu-chatlh-0964643999-0793379999-aidxc2501408
Audi,a6,Số tự động,Sedan,2008,5,60000,Trắng,Xăng,,,RFD - Dẫn động cầu sau,526000000,http://oto.com.vn/mua-ban-xe-audi-a6-ha-noi/can-ban-gap-sline-32-san-xuat-2008-dang-ky-lan-dau-2017-uy-tin-gia-tot-aidxc2501050
Mercedes-Benz,e-class,Số tự động,Sedan,2018,5,6000,Trắng,Xăng,,,RFD - Dẫn động cầu sau,1880000000,http://oto.com.vn/mua-ban-xe-mercedes-benz-e-class-ha-noi/can-ban-e200-san-xuat-2018-sieu-luot-gia-cuc-tot-aidxc2501215
Kia,carnival,Số tay,Van/Minivan,2009,7,150000,Bạc,Xăng,,,FWD - Dẫn động cầu trước,310000000,http://oto.com.vn/mua-ban-xe-kia-carnival-hcm/ban-xe-san-xuat-nam-2009-mau-bac-xe-nhap-aidxc2501426
Chevrolet,cruze,Số tự động,Sedan,2015,5,,Đỏ,Xăng,,,,436000000,http://oto.com.vn/mua-ban-xe-chevrolet-cruze-hcm/can-ban-xe-cu-doi-2015-436tr-aidxc2501147
Audi,a1,Số tự động,Hatchback,2010,4,60000,Trắng,Xăng,,,RFD - Dẫn động cầu sau,485000000,http://oto.com.vn/mua-ban-xe-audi-a1-ha-noi/mau-trang-model-2010-sieu-chatlh-0964643999-0793379999-aidxc2501407
Mercedes-Benz,mb,Số tay,Van/Minivan,2002,9,224000,Bạc,Xăng,,,,149000000,http://oto.com.vn/mua-ban-xe-mercedes-benz-mb-hcm/100-2002-so-san-9-cho-gia-soc-149-trieu-lh-0906344569-aidxc2456082
Hyundai,grand-i10,Số tay,Sedan,2016,5,118000,Bạc,Xăng,,,,235000000,http://oto.com.vn/mua-ban-xe-hyundai-grand-i10-hcm/can-ban-xe-nam-san-xuat-2016-mau-bac-xe-nhap-aid2377162
Hyundai,grand-i10,Số tự động,Hatchback,2018,5,22000,Trắng,Xăng,,,FWD - Dẫn động cầu trước,395000000,http://oto.com.vn/mua-ban-xe-hyundai-grand-i10-ha-noi/ban-12at-full-hatchback-doi-2018-mau-trang-gia-395tr-aidxc2490566
Lexus,lx,Số tự động,SUV,2019,8,3000,Trắng,Xăng,,,AWD - 4 bánh toàn thời gian,8.9e+09,http://oto.com.vn/mua-ban-xe-lexus-lx-hcm/ban-570-super-sport-doi-2020-sieu-luot-3000km-lh-0939962368-ms-ngoc-vy-aidxc2446696
Ford,focus,Số tự động,Sedan,2005,5,96000,Đen,Xăng,,,FWD - Dẫn động cầu trước,260000000,http://oto.com.vn/mua-ban-xe-ford-focus-hcm/can-ban-gap-20l-doi-2005-mau-den-gia-ca-thuong-luong-hotline-0901267855-aidxc2473747
Toyota,zace,Số tay,SUV,2002,7,,Màu khác,Xăng,,,,169000000,http://oto.com.vn/mua-ban-xe-toyota-zace-lam-dong/ban-xe-doi-2002-xe-nhap-169tr-aidxc2501146
Honda,civic,Số tự động,Sedan,2012,5,78123,Đen,Xăng,,,FWD - Dẫn động cầu trước,478000000,http://oto.com.vn/mua-ban-xe-honda-civic-ha-noi/can-ban-gap-doi-2012-mau-den-chinh-chu-aidxc2501424
Mazda,3,,Sedan,2018,5,23000,Màu khác,Xăng,,,,630000000,http://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/ban-xe-cu-doi-2018-xe-nhap-aidxc2501145
Kia,cerato,Số tự động,Sedan,2009,5,110000,Bạc,Xăng,,,FWD - Dẫn động cầu trước,375000000,http://oto.com.vn/mua-ban-xe-kia-cerato-phu-tho/ban-o-to-16at-doi-2009-mau-bac-nhap-khau-gia-375tr-aidxc2437473
Honda,city,Số tự động,Sedan,2017,5,30000,Đen,Xăng,,,RFD - Dẫn động cầu sau,505000000,http://oto.com.vn/mua-ban-xe-honda-city-ha-noi/o-to-thu-do-ban-xe-at-2017-mau-den-505tr-aidxc2448515
Toyota,corolla-altis,Số tự động,Sedan,2014,5,48000,Bạc,Xăng,,,FWD - Dẫn động cầu trước,605000000,http://oto.com.vn/mua-ban-xe-toyota-corolla-altis-phu-tho/ban-18at-san-xuat-nam-2014-mau-bac-aid2404032
Mazda,cx-5,,CUV,2018,5,29000,Xanh lam,,,,,925000000,http://oto.com.vn/mua-ban-xe-mazda-cx-5-hcm/ban-o-to-25-doi-2018-mau-xanh-lam-aidxc2490833
BMW,3-series,Số tự động,Sedan,2015,5,35000,Nâu,Xăng,,,RFD - Dẫn động cầu sau,900000000,http://oto.com.vn/mua-ban-xe-bmw-3-series-ha-noi/ban-o-to-320i-doi-2015-mau-nau-havana-xe-nhap-gia-tot-aid2300720
